Sentiment,tweetText
1,that film is fantastic #brilliant
1,this music is really bad #myband
0,winter is terrible #thumbs-down
0,this game is awful #nightmare
1,I love jam #loveit
0,I dislike skiing #rubbish
1,I like pop music #toptastic
1,this game is awful good
0,rock music is terrible #worstever
1,that movie is great #favorite
0,I hate this game #fail
0,I dislike this game #thumbs-down
1,that movie is great #thumbs-up
1,I like tea #brilliant
1,this game is terrible for fans of the other team #nightmare
0,this game is terrible #fail
1,this game is brilliant #loveit
0,jam is terrible #fail
0,coffee is terrible #fail
0,that movie is awful #hateit
1,that film is the best #thumbs-up
0,jam is rubbish #thumbs-down
1,I like this band #favorite
0,that movie is awful #nightmare
0,classical music is great #not!
0,I hate this team #rubbish
1,summer is brilliant #brilliant
1,coffee is brilliant #favorite
0,I loathe coffee #rubbish
1,that film is brilliant #bestever
1,winter is fantastic #bestever
1,cheese is great #thumbs-up
0,classical music is awful #worstever
0,I loathe classical music #rubbish
1,jam is great #thumbs-up
1,that band is brilliant #toptastic
0,rock music is awful #nightmare
1,that band is the best #bestever
0,tea is rubbish #nightmare
1,coffee is great #thumbs-up
1,this book is really bad #fail
0,I loathe that film #hateit
1,the holidays is great #favorite
1,I like the holidays #loveit
1,that film is brilliant #favorite
0,I like classical music #loveit
1,I love tea #bestever
0,coffee is rubbish #rubbish
0,cheese is great #brilliant
0,I dislike rock music #rubbish
0,classical music is really bad #rubbish
1,skiing is great #bestever
1,coffee is brilliant #toptastic
0,I hate this book #fail
0,I dislike winter #rubbish
1,rock music is great #favorite
0,this team is rubbish #worstever
1,this team is brilliant #bestever
0,classical music is rubbish #hateit
1,I like this band #bestever
1,this book is fantastic #toptastic
1,I adore cheese #brilliant
0,winter is awful #hateit
0,winter is awful #thumbs-down
0,I dislike the holidays #thumbs-down
1,I adore tea #bestever
1,summer is fantastic #loveit
1,this team is great #favorite
0,pop music is terrible #hateit
1,I adore pop music #bestever
1,I adore cheese #thumbs-up
1,We adore that movie #bestever
1,pop music is great #favorite
0,I hate skiing #thumbs-down
0,I hate cheese #fail
1,pop music is brilliant #brilliant
1,We love this book #favorite
1,skiing is great #thumbs-up
1,this team is fantastic #bestever
1,this band is fantastic #toptastic
1,this team is brilliant #brilliant
1,I love jam #brilliant
0,that movie is rubbish #worstever
1,this game is the best #favorite
0,rock music is rubbish #nightmare
1,tea is great #toptastic
1,We love this game #toptastic
1,this game is brilliant #brilliant
0,this game is terrible #worstever
1,this team is fantastic #thumbs-up
1,summer is brilliant #bestever
1,pop music is the best #thumbs-up
1,I adore summer #bestever
0,I dislike this game #worstever
0,I loathe that band #worstever
0,classical music is terrible #thumbs-down
0,summer is awful #nightmare
0,We loathe that film #fail
0,that film is awful #fail
1,We adore this book #bestever
0,this game is rubbish #thumbs-down
0,We dislike this book #fail
1,that film is great #thumbs-up
1,We adore that film #brilliant
1,tea is great #brilliant
1,We love this game #thumbs-up
0,We loathe this book #worstever
1,I love that film #favorite
0,tea is rubbish #fail
0,pop music is terrible #worstever
0,We hate this game #hateit
0,this team is awful #worstever
0,I hate jam #fail
1,this book is brilliant #favorite
1,summer is the best #toptastic
0,this band is rubbish #worstever
0,this game is rubbish #hateit
0,I hate that film #worstever
0,classical music is awful #thumbs-down
1,this team is the best #thumbs-up
0,that film is terrible #rubbish
0,I don't like this game
0,I hate rock music #fail
0,I loathe this game #nightmare
0,this team is really bad #hateit
1,this book is rubbish #hateit
0,skiing is terrible #hateit
0,I hate this team #worstever
0,I loathe pop music #rubbish
1,this book is the best #toptastic
1,summer is fantastic #thumbs-up
1,cheese is great #bestever
0,pop music is terrible #nightmare
1,We like this book #toptastic
1,this band is fantastic #brilliant
1,classical music is fantastic #favorite
0,skiing is awful #hateit
0,We loathe this game #worstever
1,tea is brilliant #favorite
1,the holidays is fantastic #bestever
1,that band is awful #fail
1,I adore the holidays #favorite
1,I like that film #loveit
0,I hate this game #thumbs-down
0,I hate classical music #rubbish
0,that movie is fantastic #bestever
0,I hate this game #rubbish
1,this game is fantastic #loveit
0,I hate that film #nightmare
1,I like that movie #favorite
1,that film is awful #nightmare
0,I dislike classical music #hateit
0,this game is brilliant #toptastic
1,tea is great #thumbs-up
1,I love this book #brilliant
0,classical music is rubbish #worstever
0,that film is awful #worstever
1,I like that band #toptastic
1,this team is the best #brilliant
0,tea is really bad #worstever
1,this book is fantastic #thumbs-up
0,I hate classical music #hateit
1,that movie is fantastic #favorite
1,I adore coffee #thumbs-up
1,I adore winter #favorite
1,I like that band #brilliant
0,rock music is really bad #fail
1,I love this game #bestever
0,I dislike pop music #nightmare
0,cheese is really bad #fail
1,I love coffee #favorite
0,this team is rubbish #nightmare
0,this game is terrible #worstever
0,that film is fantastic #thumbs-up
0,We adore this book #brilliant
1,this band is the best #toptastic
0,this game is really bad #nightmare
0,tea is awful #fail
1,this band is great #toptastic
0,I loathe this game #rubbish
1,the holidays is the best #favorite
0,cheese is awful #fail
1,jam is great #favorite
0,this book is awful #thumbs-down
0,cheese is awful #rubbish
1,this book is great #favorite
1,that film is the best #loveit
0,We hate this team #thumbs-down
1,skiing is fantastic #thumbs-up
1,I love skiing #thumbs-up
0,that film is rubbish #thumbs-down
1,We love that movie #thumbs-up
0,I loathe cheese #nightmare
1,I like that band #thumbs-up
0,We loathe that movie #hateit
0,this game is rubbish #fail
0,I loathe tea #nightmare
0,that band is awful #thumbs-down
0,I dislike this game #fail
0,We hate this book #worstever
1,winter is great #loveit
1,this game is brilliant #thumbs-up
1,We like that movie #favorite
1,that film is brilliant #thumbs-up
1,that film is the best #brilliant
1,classical music is great #loveit
1,summer is the best #brilliant
0,jam is really bad #nightmare
1,this team is great #bestever
0,coffee is rubbish #worstever
0,rock music is awful #fail
0,skiing is really bad #rubbish
0,tea is awful #thumbs-down
0,I dislike classical music #rubbish
0,that band is really bad #thumbs-down
0,this band is rubbish #nightmare
1,jam is brilliant #brilliant
0,I loathe classical music #thumbs-down
0,this book is awful #worstever
1,the holidays is great #loveit
1,I love this game #favorite
0,that movie is really bad #nightmare
1,skiing is great #toptastic
1,that band is great #favorite
0,We hate that movie #fail
1,pop music is brilliant #favorite
0,I loathe this team #hateit
1,that movie is brilliant #toptastic
0,rock music is rubbish #rubbish
0,I loathe this band #worstever
1,I adore rock music #brilliant
1,I love classical music #loveit
1,winter is fantastic #toptastic
1,We like this book #thumbs-up
1,skiing is the best #thumbs-up
1,We like this book #loveit
1,that band is great #brilliant
1,pop music is brilliant #loveit
0,I dislike the holidays #rubbish
1,We love this game #favorite
1,that film is the best #favorite
0,I dislike this book #rubbish
1,skiing is brilliant #bestever
0,I loathe this book #thumbs-down
1,I like the holidays #toptastic
1,I love this book #toptastic
1,I love skiing #bestever
0,I hate this team #hateit
0,I dislike jam #fail
1,I love this band #toptastic
0,We hate that movie #hateit
1,I adore this band #brilliant
0,We loathe this team #rubbish
1,that film is fantastic #toptastic
1,this band is great #loveit
1,I love that band #thumbs-up
0,I hate winter #hateit
0,that movie is rubbish #rubbish
0,I loathe skiing #rubbish
0,I hate this band #worstever
0,coffee is terrible #hateit
0,I loathe that movie #nightmare
1,this team is fantastic #toptastic
1,that movie is fantastic #toptastic
1,I love this game #toptastic
0,I loathe coffee #hateit
1,this team is brilliant #toptastic
0,I loathe summer #rubbish
0,I hate summer #fail
0,this book is awful #nightmare
1,We adore this game #favorite
0,this book is really bad #rubbish
1,I adore this team #thumbs-up
1,I love coffee #bestever
1,I love skiing #loveit
0,I dislike coffee #hateit
1,this team is great #favorite
1,I like this band #thumbs-up
0,skiing is terrible #rubbish
0,We loathe this book #rubbish
1,this team is great #thumbs-up
0,I hate tea #nightmare
0,summer is awful #fail
0,I loathe classical music #worstever
0,I loathe rock music #thumbs-down
0,We dislike that film #rubbish
1,winter is the best #bestever
0,this game is rubbish #fail
0,skiing is awful #rubbish
0,pop music is rubbish #thumbs-down
0,this game is really bad #hateit
0,I loathe summer #nightmare
0,that movie is really bad #fail
0,I loathe that film #rubbish
1,tea is brilliant #brilliant
0,that movie is rubbish #nightmare
1,cheese is brilliant #brilliant
1,that film is fantastic #loveit
0,that film is rubbish #rubbish
0,rock music is terrible #thumbs-down
1,I adore skiing #toptastic
0,that film is rubbish #thumbs-down
0,I hate the holidays #nightmare
0,that movie is really bad #rubbish
0,I dislike that movie #hateit
0,this team is rubbish #fail
0,this team is terrible #rubbish
1,I love this band #bestever
0,summer is rubbish #hateit
0,this band is terrible #hateit
0,classical music is awful #nightmare
0,jam is awful #nightmare
1,that band is brilliant #loveit
0,I loathe tea #worstever
1,the holidays is brilliant #thumbs-up
1,coffee is the best #bestever
0,I loathe that film #nightmare
0,I hate that movie #thumbs-down
0,We hate this team #rubbish
1,this team is fantastic #thumbs-up
1,summer is fantastic #favorite
0,this book is terrible #hateit
0,that film is awful #thumbs-down
0,jam is terrible #hateit
1,We like that film #thumbs-up
1,that movie is great #loveit
1,that movie is fantastic #brilliant
0,this band is really bad #rubbish
0,I dislike cheese #rubbish
1,winter is brilliant #thumbs-up
1,I like that film #favorite
0,this band is terrible #worstever
1,I adore classical music #favorite
0,the holidays is really bad #rubbish
1,coffee is great #loveit
0,classical music is really bad #nightmare
0,I hate the holidays #thumbs-down
0,I loathe this team #fail
0,We loathe this team #fail
1,this game is the best #favorite
0,this team is rubbish #nightmare
1,this book is the best #brilliant
0,I hate summer #hateit
0,this band is really bad #fail
1,We like this game #thumbs-up
1,We love that film #brilliant
1,I adore this book #bestever
0,winter is really bad #worstever
1,classical music is the best #thumbs-up
0,summer is terrible #nightmare
1,cheese is great #loveit
0,that movie is rubbish #hateit
0,summer is rubbish #thumbs-down
1,I adore pop music #loveit
1,skiing is great #brilliant
1,winter is brilliant #toptastic
1,coffee is the best #brilliant
0,I hate cheese #rubbish
0,I loathe jam #hateit
0,I dislike that band #rubbish
0,jam is really bad #rubbish
0,summer is terrible #fail
1,I like this team #brilliant
1,this book is fantastic #loveit
1,I adore that film #favorite
1,cheese is fantastic #loveit
0,summer is really bad #fail
1,I like classical music #thumbs-up
0,that movie is really bad #rubbish
1,this band is fantastic #thumbs-up
1,that movie is great #brilliant
1,I like this band #brilliant
1,pop music is fantastic #bestever
1,I like this book #thumbs-up
0,rock music is really bad #hateit
0,classical music is really bad #thumbs-down
0,I dislike cheese #hateit
0,I hate cheese #nightmare
0,I dislike this team #fail
0,I hate this book #thumbs-down
1,classical music is great #thumbs-up
0,this team is terrible #worstever
1,I like the holidays #thumbs-up
0,that movie is rubbish #thumbs-down
1,this game is fantastic #bestever
1,I like that movie #thumbs-up
1,I love this team #favorite
1,We like this team #brilliant
0,that film is terrible #rubbish
1,I adore tea #thumbs-up
0,this game is awful #fail
0,I dislike that film #thumbs-down
1,We like that film #toptastic
1,I adore winter #thumbs-up
1,I love winter #loveit
0,that band is terrible #hateit
0,pop music is terrible #rubbish
1,I adore jam #favorite
1,winter is great #bestever
0,I dislike cheese #worstever
1,I adore that film #thumbs-up
0,this team is terrible #thumbs-down
1,I like this team #bestever
0,I loathe pop music #hateit
1,I adore that band #bestever
1,this band is fantastic #loveit
1,this team is the best #loveit
1,We love this team #bestever
1,I love cheese #thumbs-up
1,this game is the best #loveit
0,I loathe the holidays #fail
0,I hate that movie #nightmare
1,jam is the best #brilliant
1,I adore this game #brilliant
1,We like this game #favorite
1,I adore that band #thumbs-up
1,that band is the best #favorite
0,tea is really bad #fail
1,coffee is great #brilliant
1,summer is the best #loveit
1,I love this band #brilliant
0,I loathe that band #thumbs-down
0,the holidays is terrible #worstever
0,skiing is rubbish #thumbs-down
0,I dislike rock music #fail
1,jam is fantastic #thumbs-up
1,I adore tea #brilliant
0,I hate skiing #hateit
0,I loathe winter #thumbs-down
0,We dislike that movie #hateit
1,I adore this book #loveit
0,winter is really bad #nightmare
1,this team is the best #toptastic
0,tea is awful #rubbish
0,this book is awful #hateit
0,tea is rubbish #rubbish
1,this book is fantastic #thumbs-up
1,this book is brilliant #thumbs-up
1,I love that band #bestever
0,I hate summer #thumbs-down
0,I dislike winter #nightmare
1,I adore this team #brilliant
0,I loathe the holidays #hateit
1,I love this team #loveit
0,this game is terrible #rubbish
0,We hate that film #hateit
0,I loathe winter #nightmare
1,classical music is great #toptastic
1,I love skiing #favorite
0,classical music is terrible #hateit
0,We hate this game #thumbs-down
0,this book is terrible #worstever
0,We hate that movie #thumbs-down
1,I like this band #loveit
1,this team is great #loveit
1,pop music is the best #brilliant
1,I adore cheese #favorite
0,I loathe tea #fail
0,this game is rubbish #hateit
0,that movie is terrible #fail
0,that film is awful #hateit
0,I dislike this band #hateit
0,this team is awful #rubbish
1,I like coffee #favorite
0,We loathe this book #nightmare
0,that movie is really bad #worstever
1,I adore this game #favorite
1,that movie is brilliant #brilliant
1,I love rock music #toptastic
1,that movie is the best #loveit
1,I love that band #favorite
1,I like summer #thumbs-up
0,jam is terrible #rubbish
1,skiing is the best #toptastic
0,pop music is awful #thumbs-down
0,coffee is rubbish #hateit
0,rock music is rubbish #fail
0,We hate this team #hateit
0,the holidays is really bad #nightmare
1,I adore jam #toptastic
0,We dislike this game #nightmare
1,this band is brilliant #loveit
1,pop music is great #brilliant
1,that movie is great #toptastic
1,this band is the best #favorite
0,summer is rubbish #rubbish
1,pop music is the best #bestever
0,that movie is terrible #nightmare
1,that film is fantastic #toptastic
1,the holidays is brilliant #bestever
1,I adore jam #brilliant
0,I dislike that band #worstever
0,this game is really bad #worstever
1,I like tea #bestever
0,I dislike this band #thumbs-down
0,that band is really bad #rubbish
0,I loathe rock music #nightmare
1,cheese is the best #loveit
1,I love winter #thumbs-up
0,I dislike that film #nightmare
1,the holidays is the best #bestever
1,that movie is the best #brilliant
0,coffee is terrible #worstever
1,pop music is great #bestever
1,jam is brilliant #loveit
1,this book is brilliant #brilliant
1,I adore that film #brilliant
1,this game is brilliant #bestever
0,that film is really bad #hateit
0,this team is really bad #rubbish
1,winter is terrible #fail
1,that film is awful #nightmare
0,winter is fantastic #loveit
0,We like this game #toptastic
1,I dislike jam #worstever
0,that movie is great #bestever
0,coffee is rubbish #nightmare
1,I adore this band #thumbs-up
0,that movie is terrible #worstever
0,this band is the best #thumbs-up
0,We dislike this team #hateit
1,I like that film #brilliant
0,that film is really bad #nightmare
1,I adore coffee #toptastic
0,this band is fantastic #bestever
1,tea is fantastic #toptastic
1,coffee is the best #thumbs-up
0,We dislike this book #thumbs-down
1,the holidays is fantastic #favorite
0,tea is awful #nightmare
1,coffee is the best #loveit
1,rock music is the best #brilliant
0,I hate jam #hateit
0,this book is awful #worstever
1,cheese is brilliant #bestever
1,that film is brilliant #loveit
1,We like this team #bestever
1,We adore this team #brilliant
0,classical music is rubbish #thumbs-down
1,that film is fantastic #brilliant
0,I hate this band #thumbs-down
1,I adore this band #loveit
1,summer is great #toptastic
0,this book is really bad #hateit
1,I love this team #thumbs-up
0,this band is awful #rubbish
1,We love this book #toptastic
0,I dislike tea #rubbish
1,I love this game #thumbs-up
0,I dislike that film #worstever
0,this book is great #toptastic
0,tea is rubbish #thumbs-down
1,I adore coffee #loveit
1,winter is fantastic #thumbs-up
1,pop music is fantastic #favorite
0,that band is terrible #nightmare
1,cheese is awesome
1,I love rock music #loveit
0,this game is really bad #nightmare
0,winter is awful #rubbish
0,this book is really bad #worstever
0,that film is not great
0,I dislike pop music #fail
1,I like this book #loveit
0,pop music is really bad #thumbs-down
1,this book is brilliant #thumbs-up
0,this band is awful #hateit
1,We like that film #bestever
1,this book is the best #brilliant
0,this book is rubbish #thumbs-down
1,We love this team #toptastic
0,winter is terrible #hateit
0,I dislike that film #rubbish
1,I love that film #toptastic
0,I loathe that movie #rubbish
1,this book is great #loveit
0,summer is terrible #rubbish
0,I like rock music #toptastic
0,I adore that movie #toptastic
0,this book is brilliant #toptastic
0,jam is awful #hateit
0,cheese is terrible #fail
0,this book is really bad #fail
0,I loathe rock music #rubbish
1,this team is fantastic #loveit
0,skiing is awful #fail
1,this game is great #brilliant
1,rock music is fantastic #favorite
0,that movie is awful #rubbish
0,We loathe this game #rubbish
1,this team is fantastic #brilliant
1,this band is great #brilliant
0,I loathe classical music #hateit
1,I adore winter #toptastic
1,We adore that movie #favorite
1,that band is fantastic #thumbs-up
0,the holidays is awful #thumbs-down
1,I like that band #bestever
1,We adore that movie #brilliant
1,this game is the best #toptastic
1,tea is brilliant #thumbs-up
1,I like cheese #bestever
0,this book is really bad #thumbs-down
0,I hate tea #rubbish
1,I adore this team #bestever
1,this book is brilliant #favorite
1,this team is the best #thumbs-up
0,coffee is really bad #fail
1,skiing is the best #loveit
1,that film is brilliant #loveit
0,that film is rubbish #nightmare
0,skiing is terrible #worstever
1,rock music is brilliant #brilliant
0,cheese is rubbish #nightmare
0,this game is really bad #worstever
1,classical music is brilliant #bestever
0,jam is awful #thumbs-down
0,this game is awful #nightmare
0,I dislike that film #fail
0,this band is really bad #hateit
0,summer is really bad #worstever
0,that film is terrible #nightmare
1,this book is fantastic #bestever
1,this game is the best #bestever
0,I loathe coffee #worstever
1,We love this team #favorite
1,I love this team #brilliant
0,I hate this book #rubbish
1,I like jam #toptastic
1,I love jam #bestever
1,that film is fantastic #favorite
1,pop music is fantastic #thumbs-up
0,that film is rubbish #nightmare
0,I dislike tea #thumbs-down
0,that film is terrible #hateit
1,that film is the best #brilliant
0,winter is terrible #nightmare
1,I adore that movie #bestever
1,this book is the best #loveit
0,I dislike jam #thumbs-down
0,I hate classical music #fail
1,the holidays is fantastic #toptastic
0,We loathe that movie #thumbs-down
0,cheese is awful #hateit
0,I hate classical music #nightmare
0,that band is rubbish #nightmare
0,this game is really bad #fail
0,this team is rubbish #thumbs-down
0,winter is terrible #rubbish
0,We hate that film #thumbs-down
1,that film is brilliant #toptastic
0,pop music is awful #nightmare
1,the holidays is the best #loveit
1,skiing is fantastic #loveit
1,I adore this game #loveit
0,I hate that band #thumbs-down
1,I love this book #bestever
0,I dislike this book #worstever
0,this band is rubbish #rubbish
0,We loathe that film #rubbish
0,I dislike this game #hateit
1,that film is great #bestever
1,that movie is great #brilliant
1,I adore that movie #favorite
1,this book is the best #thumbs-up
1,classical music is brilliant #toptastic
1,We love that film #loveit
0,this team is really bad #worstever
0,I dislike pop music #rubbish
0,I hate this game #hateit
1,I like cheese #brilliant
1,I like this book #toptastic
0,I loathe pop music #nightmare
1,this book is fantastic #brilliant
0,I dislike that band #fail
1,I adore that band #favorite
0,I dislike this game #rubbish
0,I hate coffee #rubbish
1,We adore this team #bestever
1,I adore jam #bestever
1,rock music is fantastic #brilliant
1,that movie is fantastic #loveit
1,this team is great #thumbs-up
0,this book is terrible #thumbs-down
0,this game is rubbish #rubbish
1,We adore this team #loveit
1,classical music is fantastic #bestever
1,I adore rock music #bestever
1,the holidays is great #brilliant
0,that movie is rubbish #nightmare
0,cheese is rubbish #fail
0,I hate summer #nightmare
0,that film is rubbish #hateit
0,this game is rubbish #worstever
1,jam is fantastic #loveit
1,I love tea #brilliant
0,I loathe coffee #fail
1,classical music is brilliant #loveit
0,I loathe jam #worstever
1,winter is the best #brilliant
1,tea is the best #toptastic
1,I love winter #toptastic
0,this team is rubbish #hateit
1,jam is great #loveit
1,this book is brilliant #bestever
0,I dislike this book #nightmare
1,this team is the best #favorite
1,I adore that band #brilliant
1,that film is fantastic #thumbs-up
1,this team is brilliant #bestever
1,I like skiing #thumbs-up
0,We loathe that film #nightmare
0,this team is awful #nightmare
1,this book is the best #bestever
1,I like pop music #bestever
1,that movie is great #thumbs-up
1,winter is great #thumbs-up
1,that movie is fantastic #thumbs-up
1,coffee is fantastic #loveit
0,I dislike skiing #hateit
0,I dislike that movie #thumbs-down
1,tea is the best #thumbs-up
1,the holidays is the best #toptastic
1,I like rock music #favorite
0,summer is rubbish #nightmare
0,I hate that band #nightmare
0,winter is really bad #fail
0,We loathe this game #nightmare
0,I dislike this band #worstever
1,I like rock music #loveit
0,I dislike this team #worstever
0,this team is awful #thumbs-down
0,I hate coffee #worstever
0,I dislike this band #rubbish
0,I dislike that band #thumbs-down
1,this team is great #toptastic
1,I love winter #favorite
0,this game is really bad #thumbs-down
1,I like classical music #toptastic
0,this book is terrible #nightmare
0,this book is rubbish #hateit
1,I adore cheese #loveit
1,I love jam #thumbs-up
0,I loathe rock music #hateit
0,I dislike the holidays #worstever
0,pop music is rubbish #worstever
1,I like coffee #brilliant
0,I dislike cheese #nightmare
1,this game is great #bestever
1,I love tea #toptastic
0,I dislike cheese #thumbs-down
1,We love that movie #favorite
0,this team is really bad #thumbs-down
1,jam is great #toptastic
1,We like this book #brilliant
0,I hate that band #hateit
0,that band is rubbish #hateit
1,I adore pop music #brilliant
0,We dislike this team #thumbs-down
1,I adore rock music #loveit
1,cheese is fantastic #brilliant
0,I loathe cheese #fail
0,I loathe classical music #nightmare
0,I loathe jam #thumbs-down
0,I loathe this team #nightmare
0,this team is rubbish #thumbs-down
0,We dislike this game #thumbs-down
1,skiing is brilliant #favorite
0,this team is really bad #fail
0,I hate rock music #nightmare
0,I loathe that band #hateit
1,I love pop music #favorite
0,the holidays is awful #nightmare
1,I love skiing #brilliant
0,I loathe this game #hateit
1,classical music is fantastic #thumbs-up
0,I dislike winter #hateit
0,We dislike that movie #nightmare
0,rock music is terrible #fail
1,pop music is great #toptastic
1,I adore tea #loveit
0,skiing is terrible #fail
1,I adore this team #toptastic
1,classical music is the best #favorite
0,I dislike pop music #worstever
0,I loathe jam #fail
0,We loathe this team #hateit
0,coffee is awful #hateit
1,cheese is fantastic #toptastic
1,this team is the best #favorite
0,I loathe jam #rubbish
0,this team is awful #hateit
0,We hate that movie #nightmare
1,that movie is the best #thumbs-up
0,this team is really bad #nightmare
1,winter is fantastic #brilliant
1,rock music is fantastic #loveit
1,cheese is fantastic #bestever
0,I hate that band #rubbish
1,I love summer #favorite
0,I loathe the holidays #rubbish
1,jam is brilliant #toptastic
0,that movie is awful #nightmare
1,that film is fantastic #bestever
1,this game is the best #bestever
0,pop music is terrible #thumbs-down
0,jam is really bad #thumbs-down
1,I love the holidays #favorite
0,this game is awful #worstever
1,We like this game #loveit
1,that film is the best #bestever
1,summer is the best #bestever
1,skiing is the best #brilliant
1,that film is great #favorite
0,cheese is terrible #hateit
1,this team is brilliant #toptastic
0,the holidays is rubbish #hateit
1,that film is the best #bestever
1,I adore the holidays #loveit
1,I love rock music #brilliant
1,that film is the best #toptastic
0,We dislike that movie #worstever
1,rock music is great #bestever
0,jam is awful #worstever
1,We like this game #brilliant
1,I like pop music #favorite
0,this game is rubbish #worstever
1,this book is great #bestever
1,I like coffee #loveit
0,this team is really bad #fail
0,that movie is terrible #hateit
1,I like this band #toptastic
0,coffee is terrible #rubbish
0,We dislike that movie #rubbish
0,summer is awful #worstever
1,We like this book #bestever
1,the holidays is fantastic #brilliant
0,coffee is awful #fail
0,I dislike this book #thumbs-down
0,that film is terrible #worstever
1,rock music is the best #favorite
0,We hate this book #fail
0,I hate rock music #thumbs-down
1,I adore that movie #brilliant
0,I loathe tea #hateit
1,I adore this book #favorite
1,tea is great #loveit
1,I love cheese #brilliant
1,this game is great #toptastic
1,I adore that band #toptastic
0,I dislike summer #nightmare
0,I hate that band #worstever
1,this band is the best #loveit
1,We adore this team #thumbs-up
0,this team is awful #thumbs-down
1,this team is brilliant #favorite
0,I loathe skiing #worstever
1,classical music is the best #toptastic
0,this game is awful #hateit
0,this game is terrible #fail
1,We love this team #brilliant
0,We dislike this game #rubbish
1,that movie is fantastic #thumbs-up
0,this book is terrible #nightmare
0,I loathe tea #thumbs-down
1,I love winter #bestever
1,this book is great #toptastic
0,We hate this game #nightmare
0,that film is terrible #fail
0,I hate that film #hateit
1,summer is the best #thumbs-up
1,skiing is fantastic #toptastic
0,this book is rubbish #thumbs-down
0,I loathe this book #rubbish
0,I hate skiing #nightmare
0,this team is awful #rubbish
1,this book is fantastic #brilliant
1,I adore classical music #thumbs-up
1,the holidays is great #thumbs-up
0,that film is rubbish #fail
0,that movie is awful #rubbish
1,We like this team #favorite
0,that band is rubbish #thumbs-down
0,I dislike summer #worstever
0,I loathe that movie #hateit
0,We hate this game #rubbish
1,classical music is fantastic #brilliant
0,the holidays is awful #worstever
0,this team is terrible #worstever
1,this book is brilliant #toptastic
1,I adore the holidays #brilliant
0,this team is awful #nightmare
1,this band is brilliant #favorite
0,skiing is rubbish #nightmare
0,this book is awful #hateit
1,rock music is fantastic #bestever
0,that movie is rubbish #fail
0,this band is rubbish #fail
1,I love pop music #bestever
0,this book is rubbish #worstever
1,We love this book #thumbs-up
0,We hate this game #worstever
1,this team is brilliant #thumbs-up
0,I hate that movie #rubbish
1,rock music is brilliant #loveit
1,I like that film #bestever
1,this team is fantastic #bestever
1,classical music is the best #brilliant
0,this band is terrible #thumbs-down
1,summer is great #loveit
1,that movie is fantastic #toptastic
1,jam is fantastic #brilliant
1,I love pop music #toptastic
0,I hate that movie #worstever
1,this book is great #thumbs-up
1,I adore classical music #toptastic
1,this book is brilliant #bestever
0,I dislike this book #fail
1,I love the holidays #thumbs-up
1,that movie is the best #brilliant
0,I dislike coffee #rubbish
0,I dislike that movie #fail
0,We loathe this team #worstever
0,jam is rubbish #worstever
1,this team is brilliant #loveit
0,the holidays is awful #fail
0,winter is rubbish #rubbish
0,I loathe winter #rubbish
0,this book is rubbish #fail
0,We dislike this team #worstever
0,this book is really bad #nightmare
1,tea is brilliant #toptastic
0,classical music is terrible #worstever
1,I like coffee #thumbs-up
1,I love jam #toptastic
0,I loathe cheese #worstever
1,the holidays is fantastic #loveit
0,pop music is really bad #worstever
1,jam is great #brilliant
0,tea is terrible #hateit
1,I like cheese #favorite
1,summer is brilliant #loveit
1,this game is brilliant #loveit
1,that movie is great #loveit
0,coffee is terrible #nightmare
0,cheese is awful #worstever
1,We adore this book #thumbs-up
0,that band is really bad #fail
0,that movie is awful #thumbs-down
0,this game is awful #hateit
0,I dislike the holidays #hateit
1,I love that film #loveit
